user_id;signup_started;signup_completed;acquisition_channel
3f7c07fe6c65cda20f4a1591ed8cdf89b5b780fafe17e8724157e977eab02bd9;2018-07-01 00:06:34;2018-07-01 12:25:59;Organic
c3240171e2156c6a8db6aed40fbbb4cfbb1d7881d8236c0ce1febb09e0a02862;2018-07-01 00:21:15;2018-07-28 21:19:54;Organic
5a62b29ef0b84bbaffe35135f8de0b8d2257f46e6da62e30d16422e83e4e0786;2018-07-01 00:29:54;2018-07-01 20:45:11;Organic
3953b2d2a37b6b9164010d8e4253dde009815fd0bc6343f39cb6dfff9071b6de;2018-07-01 00:47:13;2018-07-01 10:20:21;Organic
c4c3c502d437259eb1a9ad065059fc88c478086d8cad4ccc4dc57bacebc3ac29;2018-07-01 00:49:25;2018-07-31 19:05:13;Facebook Installs
876633ca11718e55733538b6bb427a63430dbd10ba56050734854c303ded6546;2018-07-01 01:04:46;2018-07-09 12:05:54;Organic
d82c9ea56a95643d04d5f8a81d87306b65f8b4cb467107b4ca172a4683a6ff46;2018-07-01 01:31:25;2018-07-01 20:26:19;Organic
9285ce52dcb6bb583857e36581ee1385e86a08b71c59a8a5320ccb370c296218;2018-07-01 01:58:02;2018-07-03 04:35:03;Facebook Installs
6ca80cadd464b69339367632e999c1d0f5e76cd3892f1eb8751722a9c127d553;2018-07-01 02:11:23;2018-07-08 15:11:54;Organic
5badf0f72fd591de13e2405dc2c07fbb5bb85053315a8e721cc4df1b7107045f;2018-07-01 02:32:13;2018-07-10 19:54:42;Organic
1cb2c8f74454e5c4a670c08fd459555863321ab69d2d7d349fa4fc4e1caf5a24;2018-07-01 02:35:22;2018-07-08 21:00:52;Facebook Installs
8446250001130971379d545ee6af317eb736f94e71ccf895071ade625dfafa17;2018-07-01 03:56:46;2018-07-01 09:11:23;Organic
383da6886d1ea9358a4ab4a2dc0152fecbbf818a20b128afe9948f48ec1d3730;2018-07-01 04:01:29;2018-07-09 14:38:07;Facebook Installs
eedd2700caeea157aee12aca18e85a1f8adf949d2907f13691566068a220597b;2018-07-01 07:33:08;2018-07-01 07:47:40;Facebook Installs
b5ae743c2ddf2e0c8f60bbe64ae681fd85c756d8cf5e50878081830eda678249;2018-07-01 07:43:22;2018-07-01 17:30:18;Organic
ecae3deaed1bc667f2261b3454123511db3ecb3082431191040b162520c4d6da;2018-07-01 08:51:43;2018-07-04 09:34:02;Organic
fa6849ad92b0224c16331e949ca38eff80c51b6a0a84600a338296431314929c;2018-07-01 09:07:57;2018-07-01 09:16:02;Organic
537c5116176a03ea5d846b3e24baf27c4faf5582d826844592d7403e11efd87f;2018-07-01 09:10:10;2018-07-04 14:56:08;Organic
6756f51449cd93b4fd22a702c702d793cbd8e4a06bd7aad03fae4defdae5e5be;2018-07-01 09:24:28;2018-07-03 20:20:51;Organic
f4a4d0319d5d86ab8672d8fe2292c4f1ffd7fae2487ccf2cf9de0b84573522c1;2018-07-01 09:27:53;2018-07-01 09:35:35;Organic
bce88d8b0ba85e786f65708b8781eb2a37bd1a010b02c171b1e203ebe9a0f5ee;2018-07-01 09:36:28;2018-07-01 09:50:13;Organic
9a0dfa91cc07844d2d04e81250484b6540b6ef26c320be62dd68fe6909510ee2;2018-07-01 09:58:40;2018-07-01 10:20:20;Referral
ffe64c45454f3aa52c05cbcdc08af22482ef44401f95145df1240772b390de16;2018-07-01 10:07:57;2018-07-01 13:43:42;Organic
7cd9ebd336afa494f6a9ed170bb6911849507acfbe2f0f1adbc6279b1b02bf25;2018-07-01 10:23:19;2018-07-01 10:50:27;Facebook Installs
17910dcfafd631e4baf2e446ead6a2d84a32602e72e6cf66129213f447feacb0;2018-07-01 10:27:09;2018-07-01 13:42:51;Coup Website
8349b153314b668496aebfd63fd40f77f492427aa3263fd470e7cd2a204dd44c;2018-07-01 10:27:26;2018-07-01 13:25:15;Facebook Installs
239c8310662c4029f700555ea25ec027faf3d6a0d12440862946b09346511ee8;2018-07-01 10:29:27;2018-07-26 18:20:03;Organic
5db3f5bc0bf17e308d375eefde8463924fd5f26e99b920ee59da1582acf1b5c7;2018-07-01 10:37:03;2018-07-01 11:53:17;Organic
3a71c58ff3f3b6155f697d52b5770168becacd36d2e327a33de21d6c076a78cd;2018-07-01 10:38:07;2018-07-01 15:37:48;Organic
ad842aaf197878a71772386c86f4b9be67dd6570ea8acd8438e7d02f244871f3;2018-07-01 10:44:45;2018-07-04 21:19:27;Coup Website
c12a357b628bbbf33072818a02f8257ceb8383aec85b921a80b67603ac3b1728;2018-07-01 10:47:22;2018-07-01 10:55:26;Facebook Installs
7e9eb7974aaee7137614eea4d98cf2aad20ebae7fdf8073f24ac91cab8f39f6e;2018-07-01 10:49:52;2018-07-01 11:45:15;Adwords UAC Installs
e90017bb50ab20e7b52ffa999c1c950ffb51cb6038e817b3a6b2f8d0abdf03cc;2018-07-01 10:58:09;2018-07-27 08:50:13;Organic
4d78496fb29b680d527d4218d2b3ab300024c92bc727ee70e85605d743253ee4;2018-07-01 11:02:32;2018-07-20 02:02:09;Organic
9bdb3470328a7c019d600413a75bbb6aa444baa23736941e2b5267549d105d79;2018-07-01 11:23:36;2018-07-01 11:40:03;Unknown
b75d5ce20f2472fa663b1dd77cbc81bd077bc9f21487428f296520fa35f5fa9a;2018-07-01 11:24:27;2018-07-01 14:49:13;Organic
a1b16657e02d786c68bd48397910a232fbd84e85463bb869ea4d20fe45b8273d;2018-07-01 11:29:16;2018-07-01 11:40:23;Referral
cc09a4565686009ee581ca365a6f5f41f8f0e7080aa29b750998974981c84984;2018-07-01 11:34:57;2018-07-01 15:20:23;Facebook Installs
7d6e95418fbcb351e6d5e728abc58865c30cec8492c7980ea0539ae803770e4b;2018-07-01 11:39:56;2018-07-04 11:29:48;Adwords UAC Installs
